Origem,Recall,F1-score,MAP,NDCG,MRR
LEXRANK_SENTENCAS_30_BM25,0.7036525668382076,0.5473,0.44779925526128617,0.511165251892795,0.44779925526128617
LEXRANK_SENTENCAS_35_BM25,0.7098029371156018,0.55538,0.4561378185013179,0.5185934637510473,0.4561378185013179
LEXRANK_SENTENCAS_40_BM25,0.7157022718714698,0.56446,0.4659909627212251,0.5282914682658707,0.4659909627212251
LEXRANK_SENTENCAS_45_BM25,0.7232333375172587,0.57969,0.4836910589515083,0.5436607748017218,0.4836910589515083
LEXRANK_SENTENCAS_50_BM25,0.730262332119995,0.58523,0.4882661813313251,0.5484164821698224,0.4882661813313251
BERTOPIC_PALAVRAS_25_BM25,0.5506464164679302,0.4452,0.37365173005313584,0.4179620504907011,0.37365173005313584
BERTOPIC_PALAVRAS_25_COSSENO,0.44019078699636,0.33752,0.27368938538136484,0.31546950257034384,0.27368938538136484
BERTOPIC_PALAVRAS_25_REMOCAO_BM25,0.5584285176352454,0.45078,0.3779277017698004,0.4229990528482377,0.3779277017698004
BERTOPIC_PALAVRAS_25_REMOCAO_COSSENO,0.44081837580017574,0.3395,0.2760574871344295,0.31729545207956233,0.2760574871344295
LEXRANK_SENTENCAS_25_REMOCAO_BM25,0.6317308899209239,0.50119,0.41535500606669173,0.46897466452070413,0.41535500606669173
LEXRANK_SENTENCAS_25_REMOCAO_COSSENO,0.3539600853520773,0.26975,0.21790929249822183,0.25164017330618443,0.21790929249822183
BERTOPIC_GUIADO_PALAVRAS_25_BM25,0.5025731140956445,0.41487,0.35323208233965103,0.3905370662677355,0.35323208233965103
BERTOPIC_GUIADO_PALAVRAS_25_COSSENO,0.4475963348813857,0.3224,0.2519371574411112,0.30061307457546266,0.2519371574411112
BERTOPIC_GUIADO_PALAVRAS_25_REMOCAO_BM25,0.524162168946906,0.42575,0.3584452533366805,0.3996076755452711,0.3584452533366805
BERTOPIC_GUIADO_PALAVRAS_25_REMOCAO_COSSENO,0.4305259194175976,0.32874,0.2658779967365382,0.30716558935064303,0.2658779967365382
BERTOPIC_PALAVRAS_30_BM25,0.501317936488013,0.41078,0.34794360068616376,0.38633527100588244,0.34794360068616376
BERTOPIC_PALAVRAS_30_COSSENO,0.43542111208736034,0.32239,0.2559495418601732,0.30048348750945936,0.2559495418601732
BERTOPIC_PALAVRAS_30_REMOCAO_BM25,0.5406049956068784,0.44611,0.3797288816367516,0.42010041822022937,0.3797288816367516
BERTOPIC_PALAVRAS_30_REMOCAO_COSSENO,0.4454625329484122,0.34737,0.2846847412242165,0.32509935151245467,0.2846847412242165
LEXRANK_SENTENCAS_30_COSSENO,0.41759759005899333,0.30358,0.23846491778586668,0.28271505927881707,0.23846491778586668
LEXRANK_SENTENCAS_30_REMOCAO_BM25,0.668382076063763,0.53013,0.439274507342789,0.4962046240123017,0.439274507342789
LEXRANK_SENTENCAS_30_REMOCAO_COSSENO,0.35383456759131415,0.26972,0.21791347642358058,0.25161412901438945,0.21791347642358058
BERTOPIC_GUIADO_PALAVRAS_30_BM25,0.5026986318564077,0.40668,0.3414647922681059,0.3818819080030966,0.3414647922681059
BERTOPIC_GUIADO_PALAVRAS_30_COSSENO,0.4316555792644659,0.31922,0.2532530019664449,0.2979475285016384,0.2532530019664449
BERTOPIC_GUIADO_PALAVRAS_30_REMOCAO_BM25,0.5456257060374043,0.44532,0.3761641772310782,0.41872201186015,0.3761641772310782
BERTOPIC_GUIADO_PALAVRAS_30_REMOCAO_COSSENO,0.4421990711685704,0.34722,0.2858269528471612,0.32526418761278675,0.2858269528471612
