indice,num_tema_cadastrado,sugerido_1,similaridade_1,sugerido_2,similaridade_2,sugerido_3,similaridade_3,sugerido_4,similaridade_4,sugerido_5,similaridade_5,sugerido_6,similaridade_6,posicao_tema_real,similaridade_tema_real
1743,6,6,0.6039779782295227,449,0.49547091126441956,1080,0.4225228726863861,473,0.4118453860282898,888,0.40265244245529175,1057,0.37235409021377563,1,0.6039779782295227
1744,6,6,0.6039779782295227,449,0.49547091126441956,1080,0.4225228726863861,473,0.4118453860282898,888,0.40265244245529175,1057,0.37235409021377563,1,0.6039779782295227
1745,6,6,0.6039779782295227,449,0.49547091126441956,1080,0.4225228726863861,473,0.4118453860282898,888,0.40265244245529175,1057,0.37235409021377563,1,0.6039779782295227
1746,6,6,0.6039779782295227,449,0.49547091126441956,1080,0.4225228726863861,473,0.4118453860282898,888,0.40265244245529175,1057,0.37235409021377563,1,0.6039779782295227
1747,6,994,0.5146675705909729,118,0.3766283392906189,1048,0.31713443994522095,1125,0.3126857280731201,72,0.30322104692459106,1186,0.28652387857437134,22,0.168619766831398
1748,6,994,0.5146675705909729,118,0.3766283392906189,1048,0.31713443994522095,1125,0.3126857280731201,72,0.30322104692459106,1186,0.28652387857437134,22,0.168619766831398
1749,6,994,0.5146675705909729,118,0.3766283392906189,1048,0.31713443994522095,1125,0.3126857280731201,72,0.30322104692459106,1186,0.28652387857437134,22,0.168619766831398
1750,6,994,0.5146675705909729,118,0.3766283392906189,1048,0.31713443994522095,1125,0.3126857280731201,72,0.30322104692459106,1186,0.28652387857437134,22,0.168619766831398
1751,5,994,0.43848809599876404,1048,0.4312956631183624,1125,0.39622417092323303,1184,0.385578453540802,5,0.3848586976528168,359,0.38207870721817017,5,0.3848586976528168
1752,5,994,0.43848809599876404,1048,0.4312956631183624,1125,0.39622417092323303,1184,0.385578453540802,5,0.3848586976528168,359,0.38207870721817017,5,0.3848586976528168
1753,5,359,0.4179150462150574,72,0.4044559597969055,1186,0.3498067259788513,1067,0.3491671681404114,444,0.34479108452796936,425,0.3446412682533264,22,0.26614588499069214
